Date,Description,Category,Type,Amount
13-06-2024,Jio Internet,Utilities,Expense,1480
13-06-2024,Coursera,Education,Expense,1558
13-06-2024,Jio Internet,Utilities,Expense,1494
14-06-2024,Myntra,Shopping,Expense,2565
14-06-2024,Amazon Purchase,Shopping,Expense,2479
14-06-2024,Yoga Classes,Healthcare,Expense,463
16-06-2024,Electricity Bill,Utilities,Expense,126
17-06-2024,Medicine,Healthcare,Expense,848
17-06-2024,IndiGo Flight,Travel,Expense,284
19-06-2024,Dominos Pizza,Food & Dining,Expense,1281
20-06-2024,Gaming,Entertainment,Expense,917
23-06-2024,Ola Cab,Travel,Expense,730
23-06-2024,Movie Tickets,Entertainment,Expense,986
24-06-2024,Starbucks,Food & Dining,Expense,1003
24-06-2024,Jio Internet,Utilities,Expense,1650
24-06-2024,Haldirams,Food & Dining,Expense,1080
25-06-2024,Workshop Fee,Education,Expense,2194
26-06-2024,Charity Donation,Other,Expense,793
26-06-2024,Flipkart,Shopping,Expense,1614
27-06-2024,ATM Withdrawal,Other,Expense,731
27-06-2024,Spotify,Entertainment,Expense,590
28-06-2024,Meesho,Shopping,Expense,2681
28-06-2024,Jio Internet,Utilities,Expense,724
28-06-2024,Yoga Classes,Healthcare,Expense,1103
01-07-2024,Monthly Salary,Salary,Income,82000
03-07-2024,Freelance Project,Freelance,Income,17585
01-07-2024,Bank Charges,Other,Expense,911
01-07-2024,Croma Electronics,Shopping,Expense,239
02-07-2024,Cult.fit Gym,Healthcare,Expense,1999
06-07-2024,ATM Withdrawal,Other,Expense,1254
10-07-2024,College Fee,Education,Expense,2521
10-07-2024,Movie Tickets,Entertainment,Expense,214
12-07-2024,YouTube Premium,Entertainment,Expense,540
12-07-2024,Croma Electronics,Shopping,Expense,2896
12-07-2024,Vi Recharge,Utilities,Expense,2199
20-07-2024,Croma Electronics,Shopping,Expense,3938
22-07-2024,Workshop Fee,Education,Expense,915
22-07-2024,Workshop Fee,Education,Expense,2593
22-07-2024,Vi Recharge,Utilities,Expense,1161
26-07-2024,College Fee,Education,Expense,1600
29-07-2024,Myntra,Shopping,Expense,3709
30-07-2024,Train Ticket,Travel,Expense,3804
01-08-2024,Monthly Salary,Salary,Income,82000
01-08-2024,Netflix,Entertainment,Expense,1499
01-08-2024,Bank Charges,Other,Expense,1135
01-08-2024,Udemy Course,Education,Expense,694
03-08-2024,Bank Charges,Other,Expense,763
05-08-2024,College Fee,Education,Expense,1950
08-08-2024,Amazon Prime,Entertainment,Expense,1255
08-08-2024,Bank Charges,Other,Expense,897
08-08-2024,Ola Cab,Travel,Expense,1964
09-08-2024,IndiGo Flight,Travel,Expense,2259
09-08-2024,Books,Education,Expense,2605
12-08-2024,Haldirams,Food & Dining,Expense,186
13-08-2024,Notes Printing,Education,Expense,1280
13-08-2024,Starbucks,Food & Dining,Expense,1179
13-08-2024,Vi Recharge,Utilities,Expense,2195
14-08-2024,YouTube Premium,Entertainment,Expense,544
15-08-2024,Amazon Prime,Entertainment,Expense,120
15-08-2024,MakeMyTrip Hotel,Travel,Expense,2693
15-08-2024,Misc Expense,Other,Expense,721
16-08-2024,Spotify,Entertainment,Expense,1174
16-08-2024,MakeMyTrip Hotel,Travel,Expense,1497
19-08-2024,Electricity Bill,Utilities,Expense,831
22-08-2024,Gift for Friend,Other,Expense,202
24-08-2024,ATM Withdrawal,Other,Expense,466
26-08-2024,Ajio,Shopping,Expense,1799
31-08-2024,IndiGo Flight,Travel,Expense,1439
31-08-2024,Notes Printing,Education,Expense,1165
31-08-2024,Uber Ride,Travel,Expense,2108
01-09-2024,Monthly Salary,Salary,Income,82000
03-09-2024,Freelance Project,Freelance,Income,19401
03-09-2024,Spotify,Entertainment,Expense,112
04-09-2024,Zara,Shopping,Expense,3103
04-09-2024,Croma Electronics,Shopping,Expense,3849
05-09-2024,Misc Expense,Other,Expense,113
05-09-2024,Grocery Store,Food & Dining,Expense,1007
06-09-2024,Meesho,Shopping,Expense,202
06-09-2024,Electricity Bill,Utilities,Expense,1979
06-09-2024,Ola Cab,Travel,Expense,4480
07-09-2024,MakeMyTrip Hotel,Travel,Expense,4316
08-09-2024,Gift for Friend,Other,Expense,726
08-09-2024,ATM Withdrawal,Other,Expense,847
08-09-2024,Coursera,Education,Expense,446
09-09-2024,Notes Printing,Education,Expense,477
10-09-2024,Flipkart,Shopping,Expense,3196
10-09-2024,Udemy Course,Education,Expense,2226
10-09-2024,Uber Ride,Travel,Expense,265
12-09-2024,Gaming,Entertainment,Expense,1174
13-09-2024,Workshop Fee,Education,Expense,1609
13-09-2024,Notes Printing,Education,Expense,2761
13-09-2024,Amazon Purchase,Shopping,Expense,1530
16-09-2024,Ola Cab,Travel,Expense,1830
16-09-2024,Notes Printing,Education,Expense,512
16-09-2024,Coursera,Education,Expense,2446
17-09-2024,Local Cafe,Food & Dining,Expense,205
17-09-2024,Zomato Order,Food & Dining,Expense,911
19-09-2024,Yoga Classes,Healthcare,Expense,1351
19-09-2024,Cult.fit Gym,Healthcare,Expense,1492
19-09-2024,Fuel,Travel,Expense,2382
21-09-2024,Notes Printing,Education,Expense,362
21-09-2024,Vi Recharge,Utilities,Expense,830
21-09-2024,Zomato Order,Food & Dining,Expense,833
23-09-2024,Jio Internet,Utilities,Expense,2006
23-09-2024,Misc Expense,Other,Expense,1010
23-09-2024,Uber Ride,Travel,Expense,610
25-09-2024,DTH Recharge,Utilities,Expense,2029
28-09-2024,Medicine,Healthcare,Expense,873
28-09-2024,Apollo Pharmacy,Healthcare,Expense,328
29-09-2024,Misc Expense,Other,Expense,938
29-09-2024,Metro Card Recharge,Travel,Expense,2611
30-09-2024,Vi Recharge,Utilities,Expense,2452
30-09-2024,Ola Cab,Travel,Expense,4667
30-09-2024,Train Ticket,Travel,Expense,1258
01-10-2024,Monthly Salary,Salary,Income,82000
03-10-2024,Doctor Consultation,Healthcare,Expense,958
04-10-2024,Amazon Purchase,Shopping,Expense,2196
05-10-2024,Netflix,Entertainment,Expense,379
05-10-2024,Starbucks,Food & Dining,Expense,257
06-10-2024,Gift for Friend,Other,Expense,664
06-10-2024,YouTube Premium,Entertainment,Expense,1534
06-10-2024,Apollo Pharmacy,Healthcare,Expense,1892
07-10-2024,MakeMyTrip Hotel,Travel,Expense,528
07-10-2024,Croma Electronics,Shopping,Expense,2922
08-10-2024,Dominos Pizza,Food & Dining,Expense,534
11-10-2024,Bank Charges,Other,Expense,800
11-10-2024,Movie Tickets,Entertainment,Expense,1403
12-10-2024,Charity Donation,Other,Expense,834
12-10-2024,Yoga Classes,Healthcare,Expense,1312
12-10-2024,Flipkart,Shopping,Expense,2956
18-10-2024,Gift for Friend,Other,Expense,905
18-10-2024,Udemy Course,Education,Expense,2216
18-10-2024,Local Cafe,Food & Dining,Expense,1075
19-10-2024,Ola Cab,Travel,Expense,1106
21-10-2024,Fuel,Travel,Expense,1831
22-10-2024,Jio Internet,Utilities,Expense,1918
22-10-2024,Water Bill,Utilities,Expense,1432
22-10-2024,Zomato Order,Food & Dining,Expense,1261
24-10-2024,Apollo Pharmacy,Healthcare,Expense,1174
25-10-2024,Flipkart,Shopping,Expense,1066
25-10-2024,Cult.fit Gym,Healthcare,Expense,324
27-10-2024,Water Bill,Utilities,Expense,1183
27-10-2024,DTH Recharge,Utilities,Expense,1364
28-10-2024,Medicine,Healthcare,Expense,1547
01-11-2024,Monthly Salary,Salary,Income,82000
01-11-2024,Medicine,Healthcare,Expense,2004
02-11-2024,Coursera,Education,Expense,2903
02-11-2024,Coursera,Education,Expense,1266
02-11-2024,Gas Cylinder,Utilities,Expense,1079
03-11-2024,Ola Cab,Travel,Expense,2511
03-11-2024,Amazon Purchase,Shopping,Expense,3346
05-11-2024,Electricity Bill,Utilities,Expense,2157
05-11-2024,Amazon Purchase,Shopping,Expense,1248
05-11-2024,Udemy Course,Education,Expense,2261
06-11-2024,Fuel,Travel,Expense,3819
06-11-2024,Doctor Consultation,Healthcare,Expense,1640
06-11-2024,Gift for Friend,Other,Expense,654
08-11-2024,Flipkart,Shopping,Expense,311
08-11-2024,Gas Cylinder,Utilities,Expense,202
08-11-2024,Notes Printing,Education,Expense,2241
09-11-2024,Udemy Course,Education,Expense,1789
11-11-2024,Doctor Consultation,Healthcare,Expense,1678
12-11-2024,Cult.fit Gym,Healthcare,Expense,1022
12-11-2024,Zara,Shopping,Expense,474
15-11-2024,Ajio,Shopping,Expense,1902
17-11-2024,Starbucks,Food & Dining,Expense,536
17-11-2024,ATM Withdrawal,Other,Expense,359
17-11-2024,Misc Expense,Other,Expense,1063
19-11-2024,Apollo Pharmacy,Healthcare,Expense,1060
19-11-2024,Gaming,Entertainment,Expense,1020
19-11-2024,Metro Card Recharge,Travel,Expense,4494
21-11-2024,Local Cafe,Food & Dining,Expense,587
21-11-2024,Jio Internet,Utilities,Expense,1702
22-11-2024,Medicine,Healthcare,Expense,1879
22-11-2024,IndiGo Flight,Travel,Expense,197
22-11-2024,Netflix,Entertainment,Expense,1494
24-11-2024,Flipkart,Shopping,Expense,3873
24-11-2024,Uber Ride,Travel,Expense,1214
24-11-2024,ATM Withdrawal,Other,Expense,1196
25-11-2024,Grocery Store,Food & Dining,Expense,242
25-11-2024,Workshop Fee,Education,Expense,312
25-11-2024,Dominos Pizza,Food & Dining,Expense,821
27-11-2024,Flipkart,Shopping,Expense,995
29-11-2024,Train Ticket,Travel,Expense,1333
29-11-2024,Charity Donation,Other,Expense,816
29-11-2024,Water Bill,Utilities,Expense,1545
01-12-2024,Monthly Salary,Salary,Income,82000
03-12-2024,Freelance Project,Freelance,Income,10359
03-12-2024,Books,Education,Expense,1905
03-12-2024,Misc Expense,Other,Expense,258
03-12-2024,Vi Recharge,Utilities,Expense,244
04-12-2024,Meesho,Shopping,Expense,3844
05-12-2024,Medicine,Healthcare,Expense,861
05-12-2024,Gaming,Entertainment,Expense,1499
06-12-2024,Haldirams,Food & Dining,Expense,1022
07-12-2024,Coursera,Education,Expense,1731
07-12-2024,Croma Electronics,Shopping,Expense,3288
07-12-2024,ATM Withdrawal,Other,Expense,524
09-12-2024,Charity Donation,Other,Expense,564
09-12-2024,Spotify,Entertainment,Expense,930
12-12-2024,Myntra,Shopping,Expense,421
12-12-2024,Jio Internet,Utilities,Expense,1044
12-12-2024,Charity Donation,Other,Expense,1107
14-12-2024,IPL Tickets,Entertainment,Expense,374
14-12-2024,Meesho,Shopping,Expense,1124
15-12-2024,Cult.fit Gym,Healthcare,Expense,496
15-12-2024,Dominos Pizza,Food & Dining,Expense,629
18-12-2024,Uber Ride,Travel,Expense,124
18-12-2024,Misc Expense,Other,Expense,890
18-12-2024,Books,Education,Expense,1214
19-12-2024,Electricity Bill,Utilities,Expense,644
19-12-2024,Zara,Shopping,Expense,2657
19-12-2024,Dominos Pizza,Food & Dining,Expense,222
21-12-2024,Meesho,Shopping,Expense,741
21-12-2024,Metro Card Recharge,Travel,Expense,3838
23-12-2024,Workshop Fee,Education,Expense,1204
23-12-2024,Zomato Order,Food & Dining,Expense,259
23-12-2024,Flipkart,Shopping,Expense,2794
24-12-2024,Spotify,Entertainment,Expense,1562
25-12-2024,Workshop Fee,Education,Expense,440
26-12-2024,Apollo Pharmacy,Healthcare,Expense,1273
26-12-2024,Medicine,Healthcare,Expense,1979
27-12-2024,IndiGo Flight,Travel,Expense,2243
27-12-2024,Swiggy,Food & Dining,Expense,103
27-12-2024,Flipkart,Shopping,Expense,3748
28-12-2024,ATM Withdrawal,Other,Expense,1255
28-12-2024,Zara,Shopping,Expense,1767
29-12-2024,Doctor Consultation,Healthcare,Expense,846
29-12-2024,Starbucks,Food & Dining,Expense,714
31-12-2024,BigBasket,Food & Dining,Expense,631
31-12-2024,Local Cafe,Food & Dining,Expense,633
01-01-2025,Monthly Salary,Salary,Income,82000
03-01-2025,IPL Tickets,Entertainment,Expense,917
03-01-2025,Netflix,Entertainment,Expense,526
03-01-2025,Zomato Order,Food & Dining,Expense,943
04-01-2025,Jio Internet,Utilities,Expense,1450
06-01-2025,ATM Withdrawal,Other,Expense,900
08-01-2025,Uber Ride,Travel,Expense,3478
13-01-2025,Swiggy,Food & Dining,Expense,975
13-01-2025,Electricity Bill,Utilities,Expense,1302
13-01-2025,Myntra,Shopping,Expense,1384
15-01-2025,Bank Charges,Other,Expense,1297
19-01-2025,DTH Recharge,Utilities,Expense,1762
19-01-2025,ATM Withdrawal,Other,Expense,1195
20-01-2025,ATM Withdrawal,Other,Expense,967
20-01-2025,Spotify,Entertainment,Expense,435
22-01-2025,Amazon Prime,Entertainment,Expense,353
22-01-2025,Netflix,Entertainment,Expense,457
26-01-2025,Dominos Pizza,Food & Dining,Expense,1067
31-01-2025,Starbucks,Food & Dining,Expense,1090
31-01-2025,Gaming,Entertainment,Expense,404
01-02-2025,Monthly Salary,Salary,Income,82000
03-02-2025,Freelance Project,Freelance,Income,9983
02-02-2025,Metro Card Recharge,Travel,Expense,2559
03-02-2025,Doctor Consultation,Healthcare,Expense,1954
03-02-2025,Bank Charges,Other,Expense,1243
03-02-2025,Bank Charges,Other,Expense,373
04-02-2025,H&M,Shopping,Expense,2713
05-02-2025,Coursera,Education,Expense,1431
08-02-2025,Gift for Friend,Other,Expense,497
08-02-2025,Bank Charges,Other,Expense,614
10-02-2025,Meesho,Shopping,Expense,3569
10-02-2025,Fuel,Travel,Expense,1227
12-02-2025,Gaming,Entertainment,Expense,625
12-02-2025,College Fee,Education,Expense,1729
14-02-2025,Jio Internet,Utilities,Expense,2057
14-02-2025,IPL Tickets,Entertainment,Expense,1499
14-02-2025,Water Bill,Utilities,Expense,2037
15-02-2025,Grocery Store,Food & Dining,Expense,1243
15-02-2025,Gift for Friend,Other,Expense,285
16-02-2025,Gift for Friend,Other,Expense,996
20-02-2025,Swiggy,Food & Dining,Expense,816
21-02-2025,IPL Tickets,Entertainment,Expense,303
22-02-2025,Udemy Course,Education,Expense,2773
24-02-2025,Charity Donation,Other,Expense,1052
24-02-2025,YouTube Premium,Entertainment,Expense,1375
24-02-2025,Movie Tickets,Entertainment,Expense,1450
25-02-2025,Charity Donation,Other,Expense,856
27-02-2025,Local Cafe,Food & Dining,Expense,375
27-02-2025,Ola Cab,Travel,Expense,2733
27-02-2025,Misc Expense,Other,Expense,884
28-02-2025,Books,Education,Expense,1699
28-02-2025,Jio Internet,Utilities,Expense,451
28-02-2025,Vi Recharge,Utilities,Expense,154
01-03-2025,Monthly Salary,Salary,Income,82000
02-03-2025,Meesho,Shopping,Expense,4097
04-03-2025,Misc Expense,Other,Expense,1195
05-03-2025,Swiggy,Food & Dining,Expense,897
06-03-2025,Yoga Classes,Healthcare,Expense,1616
07-03-2025,Gift for Friend,Other,Expense,646
07-03-2025,ATM Withdrawal,Other,Expense,1227
07-03-2025,Bank Charges,Other,Expense,313
10-03-2025,DTH Recharge,Utilities,Expense,884
15-03-2025,Water Bill,Utilities,Expense,2428
15-03-2025,Misc Expense,Other,Expense,785
15-03-2025,Gaming,Entertainment,Expense,732
16-03-2025,BigBasket,Food & Dining,Expense,710
16-03-2025,Doctor Consultation,Healthcare,Expense,1363
16-03-2025,Amazon Purchase,Shopping,Expense,463
18-03-2025,ATM Withdrawal,Other,Expense,575
19-03-2025,Gift for Friend,Other,Expense,1014
19-03-2025,Health Checkup,Healthcare,Expense,144
19-03-2025,Cult.fit Gym,Healthcare,Expense,931
20-03-2025,Ola Cab,Travel,Expense,4129
21-03-2025,H&M,Shopping,Expense,451
21-03-2025,Croma Electronics,Shopping,Expense,546
22-03-2025,Apollo Pharmacy,Healthcare,Expense,1137
22-03-2025,Meesho,Shopping,Expense,3521
22-03-2025,Fuel,Travel,Expense,4223
24-03-2025,Medicine,Healthcare,Expense,2096
24-03-2025,Spotify,Entertainment,Expense,648
24-03-2025,BigBasket,Food & Dining,Expense,1288
26-03-2025,Movie Tickets,Entertainment,Expense,200
26-03-2025,IPL Tickets,Entertainment,Expense,435
28-03-2025,Doctor Consultation,Healthcare,Expense,1740
28-03-2025,Cult.fit Gym,Healthcare,Expense,1595
29-03-2025,Medicine,Healthcare,Expense,100
31-03-2025,Charity Donation,Other,Expense,1249
31-03-2025,Starbucks,Food & Dining,Expense,499
01-04-2025,Monthly Salary,Salary,Income,82000
01-04-2025,ATM Withdrawal,Other,Expense,1021
01-04-2025,Uber Ride,Travel,Expense,4284
01-04-2025,Yoga Classes,Healthcare,Expense,1464
02-04-2025,IPL Tickets,Entertainment,Expense,607
07-04-2025,Metro Card Recharge,Travel,Expense,1518
07-04-2025,Coursera,Education,Expense,2340
08-04-2025,Apollo Pharmacy,Healthcare,Expense,899
08-04-2025,Amazon Prime,Entertainment,Expense,1398
08-04-2025,Apollo Pharmacy,Healthcare,Expense,1302
11-04-2025,IndiGo Flight,Travel,Expense,1227
11-04-2025,Amazon Prime,Entertainment,Expense,978
12-04-2025,Gift for Friend,Other,Expense,888
12-04-2025,ATM Withdrawal,Other,Expense,414
13-04-2025,Gaming,Entertainment,Expense,797
13-04-2025,Notes Printing,Education,Expense,3030
14-04-2025,H&M,Shopping,Expense,603
17-04-2025,Water Bill,Utilities,Expense,1042
17-04-2025,Charity Donation,Other,Expense,1126
17-04-2025,Grocery Store,Food & Dining,Expense,1126
18-04-2025,Amazon Prime,Entertainment,Expense,402
18-04-2025,Gaming,Entertainment,Expense,538
18-04-2025,Ola Cab,Travel,Expense,3237
20-04-2025,Workshop Fee,Education,Expense,1626
21-04-2025,Dominos Pizza,Food & Dining,Expense,540
21-04-2025,College Fee,Education,Expense,840
22-04-2025,MakeMyTrip Hotel,Travel,Expense,4721
22-04-2025,Water Bill,Utilities,Expense,524
22-04-2025,Vi Recharge,Utilities,Expense,2184
24-04-2025,Local Cafe,Food & Dining,Expense,168
24-04-2025,College Fee,Education,Expense,713
26-04-2025,Myntra,Shopping,Expense,1815
26-04-2025,Cult.fit Gym,Healthcare,Expense,1705
27-04-2025,Train Ticket,Travel,Expense,3858
29-04-2025,Local Cafe,Food & Dining,Expense,641
29-04-2025,Coursera,Education,Expense,706
29-04-2025,Spotify,Entertainment,Expense,1543
01-05-2025,Monthly Salary,Salary,Income,82000
03-05-2025,Doctor Consultation,Healthcare,Expense,283
03-05-2025,Gift for Friend,Other,Expense,238
04-05-2025,Fuel,Travel,Expense,4373
06-05-2025,Starbucks,Food & Dining,Expense,669
09-05-2025,College Fee,Education,Expense,1085
09-05-2025,Ola Cab,Travel,Expense,4035
13-05-2025,Ajio,Shopping,Expense,2347
16-05-2025,IPL Tickets,Entertainment,Expense,113
16-05-2025,H&M,Shopping,Expense,2665
17-05-2025,Notes Printing,Education,Expense,461
17-05-2025,IndiGo Flight,Travel,Expense,1815
18-05-2025,Cult.fit Gym,Healthcare,Expense,478
18-05-2025,Charity Donation,Other,Expense,485
20-05-2025,Myntra,Shopping,Expense,2959
20-05-2025,Metro Card Recharge,Travel,Expense,2851
21-05-2025,Zara,Shopping,Expense,1108
21-05-2025,Amazon Purchase,Shopping,Expense,3604
21-05-2025,Grocery Store,Food & Dining,Expense,1175
22-05-2025,Health Checkup,Healthcare,Expense,1969
26-05-2025,Jio Internet,Utilities,Expense,2475
26-05-2025,Zara,Shopping,Expense,1905
26-05-2025,Metro Card Recharge,Travel,Expense,1259
27-05-2025,Uber Ride,Travel,Expense,4921
27-05-2025,Dominos Pizza,Food & Dining,Expense,296
29-05-2025,Water Bill,Utilities,Expense,242
29-05-2025,Health Checkup,Healthcare,Expense,123
30-05-2025,Dominos Pizza,Food & Dining,Expense,330
30-05-2025,ATM Withdrawal,Other,Expense,304
30-05-2025,Ajio,Shopping,Expense,3347
01-06-2025,Monthly Salary,Salary,Income,82000
03-06-2025,Freelance Project,Freelance,Income,20422
01-06-2025,Zara,Shopping,Expense,329
01-06-2025,Charity Donation,Other,Expense,306
05-06-2025,Grocery Store,Food & Dining,Expense,1200
05-06-2025,DTH Recharge,Utilities,Expense,288
06-06-2025,Ola Cab,Travel,Expense,1092
07-06-2025,YouTube Premium,Entertainment,Expense,173
07-06-2025,Bank Charges,Other,Expense,191
07-06-2025,Local Cafe,Food & Dining,Expense,123
08-06-2025,Starbucks,Food & Dining,Expense,629
08-06-2025,Apollo Pharmacy,Healthcare,Expense,102
08-06-2025,Ola Cab,Travel,Expense,1049
09-06-2025,Notes Printing,Education,Expense,1489
10-06-2025,Swiggy,Food & Dining,Expense,1253
11-06-2025,IndiGo Flight,Travel,Expense,2413
12-06-2025,IndiGo Flight,Travel,Expense,3842
13-06-2025,Misc Expense,Other,Expense,954
13-06-2025,Spotify,Entertainment,Expense,722
14-06-2025,Udemy Course,Education,Expense,1821
14-06-2025,Charity Donation,Other,Expense,309
14-06-2025,Myntra,Shopping,Expense,761
17-06-2025,H&M,Shopping,Expense,3746
18-06-2025,Doctor Consultation,Healthcare,Expense,1652
18-06-2025,Water Bill,Utilities,Expense,159
18-06-2025,Bank Charges,Other,Expense,880
19-06-2025,H&M,Shopping,Expense,348
19-06-2025,Zara,Shopping,Expense,1775
20-06-2025,Misc Expense,Other,Expense,401
21-06-2025,Jio Internet,Utilities,Expense,1769
21-06-2025,Vi Recharge,Utilities,Expense,2325
21-06-2025,Movie Tickets,Entertainment,Expense,846
22-06-2025,MakeMyTrip Hotel,Travel,Expense,4601
23-06-2025,Starbucks,Food & Dining,Expense,1229
23-06-2025,Vi Recharge,Utilities,Expense,1293
23-06-2025,Amazon Purchase,Shopping,Expense,2185
24-06-2025,Grocery Store,Food & Dining,Expense,847
24-06-2025,Meesho,Shopping,Expense,1614
24-06-2025,Workshop Fee,Education,Expense,2975
26-06-2025,Coursera,Education,Expense,2813
27-06-2025,Metro Card Recharge,Travel,Expense,1234
29-06-2025,Misc Expense,Other,Expense,190
01-07-2025,Monthly Salary,Salary,Income,90000
03-07-2025,Freelance Project,Freelance,Income,18836
01-07-2025,Gift for Friend,Other,Expense,270
01-07-2025,IndiGo Flight,Travel,Expense,4149
01-07-2025,Yoga Classes,Healthcare,Expense,975
02-07-2025,Train Ticket,Travel,Expense,761
02-07-2025,Gift for Friend,Other,Expense,536
02-07-2025,Amazon Purchase,Shopping,Expense,465
08-07-2025,IPL Tickets,Entertainment,Expense,328
08-07-2025,Doctor Consultation,Healthcare,Expense,891
09-07-2025,IndiGo Flight,Travel,Expense,2088
09-07-2025,Cult.fit Gym,Healthcare,Expense,1238
09-07-2025,Gas Cylinder,Utilities,Expense,351
12-07-2025,Gaming,Entertainment,Expense,1037
13-07-2025,Haldirams,Food & Dining,Expense,852
13-07-2025,Croma Electronics,Shopping,Expense,1636
13-07-2025,Uber Ride,Travel,Expense,3274
14-07-2025,Health Checkup,Healthcare,Expense,912
14-07-2025,Health Checkup,Healthcare,Expense,389
14-07-2025,Train Ticket,Travel,Expense,2650
